,geneID
0,ENSG00000000003
2,ENSG00000000419
3,ENSG00000000457
4,ENSG00000000460
7,ENSG00000001036
8,ENSG00000001084
9,ENSG00000001167
10,ENSG00000001460
11,ENSG00000001461
12,ENSG00000001497
13,ENSG00000001561
14,ENSG00000001617
15,ENSG00000001626
16,ENSG00000001629
17,ENSG00000001630
18,ENSG00000001631
19,ENSG00000002016
20,ENSG00000002079
21,ENSG00000002330
22,ENSG00000002549
23,ENSG00000002586
24,ENSG00000002587
28,ENSG00000002822
29,ENSG00000002834
30,ENSG00000002919
32,ENSG00000003056
34,ENSG00000003137
35,ENSG00000003147
36,ENSG00000003249
37,ENSG00000003393
38,ENSG00000003400
39,ENSG00000003402
40,ENSG00000003436
41,ENSG00000003509
42,ENSG00000003756
43,ENSG00000003987
44,ENSG00000003989
45,ENSG00000004059
46,ENSG00000004139
47,ENSG00000004142
48,ENSG00000004399
49,ENSG00000004455
51,ENSG00000004478
52,ENSG00000004487
53,ENSG00000004534
54,ENSG00000004660
55,ENSG00000004700
56,ENSG00000004766
58,ENSG00000004777
59,ENSG00000004779
65,ENSG00000004864
66,ENSG00000004866
67,ENSG00000004897
70,ENSG00000004961
71,ENSG00000004975
72,ENSG00000005001
73,ENSG00000005007
74,ENSG00000005020
75,ENSG00000005022
76,ENSG00000005059
77,ENSG00000005073
78,ENSG00000005075
79,ENSG00000005100
80,ENSG00000005102
82,ENSG00000005156
83,ENSG00000005175
85,ENSG00000005189
86,ENSG00000005194
87,ENSG00000005206
88,ENSG00000005238
89,ENSG00000005243
90,ENSG00000005249
91,ENSG00000005302
92,ENSG00000005339
96,ENSG00000005436
97,ENSG00000005448
98,ENSG00000005469
100,ENSG00000005483
101,ENSG00000005486
103,ENSG00000005700
104,ENSG00000005801
105,ENSG00000005810
106,ENSG00000005812
108,ENSG00000005882
109,ENSG00000005884
110,ENSG00000005889
111,ENSG00000005893
112,ENSG00000005955
113,ENSG00000005961
115,ENSG00000006007
116,ENSG00000006015
117,ENSG00000006016
118,ENSG00000006025
119,ENSG00000006042
120,ENSG00000006047
122,ENSG00000006062
126,ENSG00000006114
128,ENSG00000006118
129,ENSG00000006125
131,ENSG00000006194
133,ENSG00000006282
135,ENSG00000006327
137,ENSG00000006432
138,ENSG00000006451
139,ENSG00000006453
140,ENSG00000006459
142,ENSG00000006530
143,ENSG00000006534
144,ENSG00000006555
145,ENSG00000006576
147,ENSG00000006607
149,ENSG00000006625
150,ENSG00000006634
151,ENSG00000006638
152,ENSG00000006652
154,ENSG00000006695
155,ENSG00000006704
156,ENSG00000006712
157,ENSG00000006715
159,ENSG00000006744
161,ENSG00000006756
162,ENSG00000006757
164,ENSG00000006831
168,ENSG00000007047
170,ENSG00000007080
172,ENSG00000007168
175,ENSG00000007202
178,ENSG00000007255
179,ENSG00000007264
183,ENSG00000007341
186,ENSG00000007376
187,ENSG00000007384
188,ENSG00000007392
189,ENSG00000007402
190,ENSG00000007516
191,ENSG00000007520
192,ENSG00000007541
193,ENSG00000007545
194,ENSG00000007866
196,ENSG00000007923
198,ENSG00000007944
200,ENSG00000007968
201,ENSG00000008018
203,ENSG00000008083
206,ENSG00000008128
207,ENSG00000008130
211,ENSG00000008256
213,ENSG00000008282
214,ENSG00000008283
215,ENSG00000008294
216,ENSG00000008300
218,ENSG00000008323
219,ENSG00000008324
220,ENSG00000008382
221,ENSG00000008394
222,ENSG00000008405
224,ENSG00000008441
225,ENSG00000008513
226,ENSG00000008516
227,ENSG00000008517
228,ENSG00000008710
229,ENSG00000008735
230,ENSG00000008838
231,ENSG00000008853
232,ENSG00000008869
233,ENSG00000008952
234,ENSG00000008988
235,ENSG00000009307
236,ENSG00000009335
237,ENSG00000009413
240,ENSG00000009724
242,ENSG00000009780
243,ENSG00000009790
244,ENSG00000009830
245,ENSG00000009844
246,ENSG00000009950
247,ENSG00000009954
248,ENSG00000010017
249,ENSG00000010030
250,ENSG00000010072
251,ENSG00000010165
252,ENSG00000010219
253,ENSG00000010244
254,ENSG00000010256
255,ENSG00000010270
256,ENSG00000010278
258,ENSG00000010292
261,ENSG00000010318
263,ENSG00000010322
265,ENSG00000010361
267,ENSG00000010404
268,ENSG00000010438
269,ENSG00000010539
271,ENSG00000010626
273,ENSG00000010704
274,ENSG00000010803
275,ENSG00000010810
276,ENSG00000010818
278,ENSG00000011007
279,ENSG00000011009
280,ENSG00000011021
281,ENSG00000011028
284,ENSG00000011105
285,ENSG00000011114
286,ENSG00000011132
287,ENSG00000011143
288,ENSG00000011198
289,ENSG00000011201
290,ENSG00000011243
291,ENSG00000011258
292,ENSG00000011260
293,ENSG00000011275
294,ENSG00000011295
295,ENSG00000011304
296,ENSG00000011332
297,ENSG00000011347
298,ENSG00000011376
299,ENSG00000011405
300,ENSG00000011422
301,ENSG00000011426
302,ENSG00000011451
303,ENSG00000011454
305,ENSG00000011478
306,ENSG00000011485
307,ENSG00000011523
308,ENSG00000011566
311,ENSG00000011638
313,ENSG00000012048
314,ENSG00000012061
315,ENSG00000012124
316,ENSG00000012171
317,ENSG00000012174
318,ENSG00000012211
320,ENSG00000012232
322,ENSG00000012660
323,ENSG00000012779
325,ENSG00000012822
326,ENSG00000012963
327,ENSG00000012983
328,ENSG00000013016
329,ENSG00000013275
330,ENSG00000013288
332,ENSG00000013297
333,ENSG00000013306
334,ENSG00000013364
335,ENSG00000013374
336,ENSG00000013375
337,ENSG00000013392
338,ENSG00000013441
339,ENSG00000013503
340,ENSG00000013523
341,ENSG00000013561
342,ENSG00000013563
343,ENSG00000013573
344,ENSG00000013583
345,ENSG00000013588
348,ENSG00000013810
349,ENSG00000014123
350,ENSG00000014138
351,ENSG00000014164
352,ENSG00000014216
354,ENSG00000014641
355,ENSG00000014824
356,ENSG00000014914
357,ENSG00000014919
358,ENSG00000015133
359,ENSG00000015153
360,ENSG00000015171
363,ENSG00000015475
364,ENSG00000015479
366,ENSG00000015532
369,ENSG00000015676
371,ENSG00000016391
375,ENSG00000016864
376,ENSG00000017260
380,ENSG00000017621
381,ENSG00000017797
382,ENSG00000018189
385,ENSG00000018408
386,ENSG00000018510
388,ENSG00000018610
390,ENSG00000018699
393,ENSG00000019144
394,ENSG00000019169
395,ENSG00000019186
396,ENSG00000019485
398,ENSG00000019549
399,ENSG00000019582
401,ENSG00000019995
402,ENSG00000020129
403,ENSG00000020181
405,ENSG00000020256
406,ENSG00000020426
407,ENSG00000020577
408,ENSG00000020633
409,ENSG00000020922
411,ENSG00000021355
414,ENSG00000021574
416,ENSG00000021762
417,ENSG00000021776
420,ENSG00000022267
421,ENSG00000022277
423,ENSG00000022556
424,ENSG00000022567
425,ENSG00000022840
426,ENSG00000022976
427,ENSG00000023041
428,ENSG00000023171
429,ENSG00000023191
430,ENSG00000023228
431,ENSG00000023287
432,ENSG00000023318
433,ENSG00000023330
434,ENSG00000023445
435,ENSG00000023516
436,ENSG00000023572
437,ENSG00000023608
438,ENSG00000023697
439,ENSG00000023734
440,ENSG00000023839
441,ENSG00000023892
442,ENSG00000023902
443,ENSG00000023909
444,ENSG00000024048
445,ENSG00000024422
446,ENSG00000024526
447,ENSG00000024862
448,ENSG00000025039
449,ENSG00000025156
450,ENSG00000025293
451,ENSG00000025423
452,ENSG00000025434
453,ENSG00000025708
454,ENSG00000025770
455,ENSG00000025772
456,ENSG00000025796
457,ENSG00000025800
459,ENSG00000026036
460,ENSG00000026103
461,ENSG00000026297
462,ENSG00000026508
463,ENSG00000026559
466,ENSG00000026950
467,ENSG00000027001
468,ENSG00000027075
470,ENSG00000027697
471,ENSG00000027847
472,ENSG00000027869
473,ENSG00000028116
474,ENSG00000028137
475,ENSG00000028203
476,ENSG00000028277
477,ENSG00000028310
478,ENSG00000028528
479,ENSG00000028839
480,ENSG00000029153
481,ENSG00000029363
482,ENSG00000029364
485,ENSG00000029639
486,ENSG00000029725
487,ENSG00000029993
488,ENSG00000030066
489,ENSG00000030110
491,ENSG00000030419
492,ENSG00000030582
493,ENSG00000031003
494,ENSG00000031081
496,ENSG00000031691
497,ENSG00000031698
498,ENSG00000031823
499,ENSG00000032219
500,ENSG00000032389
501,ENSG00000032444
502,ENSG00000032742
503,ENSG00000033011
504,ENSG00000033030
505,ENSG00000033050
506,ENSG00000033100
508,ENSG00000033170
509,ENSG00000033178
510,ENSG00000033327
511,ENSG00000033627
512,ENSG00000033800
513,ENSG00000033867
514,ENSG00000034053
515,ENSG00000034063
516,ENSG00000034152
518,ENSG00000034510
519,ENSG00000034533
520,ENSG00000034677
521,ENSG00000034693
522,ENSG00000034713
524,ENSG00000035115
525,ENSG00000035141
526,ENSG00000035403
527,ENSG00000035499
528,ENSG00000035664
529,ENSG00000035681
530,ENSG00000035687
532,ENSG00000035862
533,ENSG00000035928
534,ENSG00000036054
535,ENSG00000036257
539,ENSG00000036549
541,ENSG00000036672
543,ENSG00000037042
544,ENSG00000037241
545,ENSG00000037280
546,ENSG00000037474
547,ENSG00000037637
548,ENSG00000037749
549,ENSG00000037757
550,ENSG00000037897
551,ENSG00000037965
552,ENSG00000038002
553,ENSG00000038210
554,ENSG00000038219
555,ENSG00000038274
557,ENSG00000038358
558,ENSG00000038382
560,ENSG00000038532
562,ENSG00000039068
563,ENSG00000039123
565,ENSG00000039319
566,ENSG00000039523
568,ENSG00000039560
570,ENSG00000039650
572,ENSG00000040199
573,ENSG00000040275
574,ENSG00000040341
575,ENSG00000040487
576,ENSG00000040531
577,ENSG00000040608
578,ENSG00000040633
580,ENSG00000040933
581,ENSG00000041353
582,ENSG00000041357
584,ENSG00000041802
585,ENSG00000041880
586,ENSG00000041982
587,ENSG00000041988
588,ENSG00000042062
589,ENSG00000042088
590,ENSG00000042286
592,ENSG00000042317
593,ENSG00000042429
594,ENSG00000042445
595,ENSG00000042493
596,ENSG00000042753
602,ENSG00000043093
603,ENSG00000043143
606,ENSG00000043514
607,ENSG00000043591
609,ENSG00000044090
610,ENSG00000044115
611,ENSG00000044446
612,ENSG00000044459
614,ENSG00000044574
615,ENSG00000046604
616,ENSG00000046647
617,ENSG00000046651
618,ENSG00000046653
621,ENSG00000047056
622,ENSG00000047188
623,ENSG00000047230
624,ENSG00000047249
625,ENSG00000047315
626,ENSG00000047346
627,ENSG00000047365
628,ENSG00000047410
630,ENSG00000047578
631,ENSG00000047579
632,ENSG00000047597
633,ENSG00000047617
634,ENSG00000047621
635,ENSG00000047634
636,ENSG00000047644
639,ENSG00000047849
640,ENSG00000047932
642,ENSG00000048028
643,ENSG00000048052
644,ENSG00000048140
645,ENSG00000048162
646,ENSG00000048342
647,ENSG00000048392
648,ENSG00000048405
650,ENSG00000048471
652,ENSG00000048544
654,ENSG00000048649
655,ENSG00000048707
657,ENSG00000048828
658,ENSG00000048991
659,ENSG00000049089
661,ENSG00000049167
662,ENSG00000049192
663,ENSG00000049239
664,ENSG00000049245
665,ENSG00000049246
667,ENSG00000049249
668,ENSG00000049283
670,ENSG00000049323
671,ENSG00000049449
673,ENSG00000049541
674,ENSG00000049618
675,ENSG00000049656
676,ENSG00000049759
678,ENSG00000049769
679,ENSG00000049860
680,ENSG00000049883
682,ENSG00000050130
683,ENSG00000050165
684,ENSG00000050327
685,ENSG00000050344
686,ENSG00000050393
687,ENSG00000050405
688,ENSG00000050426
693,ENSG00000050748
695,ENSG00000050820
696,ENSG00000051009
697,ENSG00000051108
698,ENSG00000051128
699,ENSG00000051180
700,ENSG00000051341
701,ENSG00000051382
702,ENSG00000051523
703,ENSG00000051596
704,ENSG00000051620
705,ENSG00000051825
706,ENSG00000052126
707,ENSG00000052344
708,ENSG00000052723
709,ENSG00000052749
710,ENSG00000052795
711,ENSG00000052802
712,ENSG00000052841
715,ENSG00000053254
717,ENSG00000053371
718,ENSG00000053372
719,ENSG00000053438
720,ENSG00000053501
722,ENSG00000053702
723,ENSG00000053747
724,ENSG00000053770
725,ENSG00000053900
726,ENSG00000053918
727,ENSG00000054116
728,ENSG00000054118
729,ENSG00000054148
730,ENSG00000054179
732,ENSG00000054267
733,ENSG00000054277
734,ENSG00000054282
736,ENSG00000054392
737,ENSG00000054523
738,ENSG00000054598
739,ENSG00000054611
740,ENSG00000054654
741,ENSG00000054690
742,ENSG00000054793
746,ENSG00000054965
747,ENSG00000054967
748,ENSG00000054983
749,ENSG00000055044
750,ENSG00000055070
752,ENSG00000055130
753,ENSG00000055147
754,ENSG00000055163
755,ENSG00000055208
756,ENSG00000055211
757,ENSG00000055332
758,ENSG00000055483
759,ENSG00000055609
